Component,Origin,Licence,Copyright
@webassemblyjs/wasm-gen,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/wasm-gen)
@webassemblyjs/wasm-opt,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/wasm-opt)
@webassemblyjs/wasm-parser,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/wasm-parser)
@webassemblyjs/wast-printer,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/wast-printer)
@xtuc/ieee754,npm,BSD-3-Clause,Feross Aboukhadijeh (http://feross.org)
@xtuc/long,npm,Apache-2.0,Daniel Wirtz (https://www.npmjs.com/package/@xtuc/long)
abbrev,npm,ISC,Isaac Z. Schlueter (https://www.npmjs.com/package/abbrev)
acorn,npm,MIT,(https://github.com/acornjs/acorn)
acorn-import-phases,virtual,MIT,Nicolò Ribaudo (https://www.npmjs.com/package/acorn-import-phases)
acorn-jsx,virtual,MIT,(https://github.com/acornjs/acorn-jsx)
acorn-walk,npm,MIT,(https://github.com/acornjs/acorn)
aggregate-error,npm,MIT,Sindre Sorhus (sindresorhus.com)
ajv,npm,MIT,Evgeny Poberezkin (https://github.com/ajv-validator/ajv)
ajv-formats,virtual,MIT,Evgeny Poberezkin (https://github.com/ajv-validator/ajv-formats#readme)
ajv-keywords,virtual,MIT,Evgeny Poberezkin (https://github.com/epoberezkin/ajv-keywords#readme)
ansi-colors,npm,MIT,Brian Woodward (https://github.com/doowb/ansi-colors)
ansi-escapes,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
ansi-regex,npm,MIT,Sindre Sorhus (sindresorhus.com)
ansi-styles,npm,MIT,Sindre Sorhus (sindresorhus.com)
any-observable,virtual,MIT,Sindre Sorhus (sindresorhus.com)
anymatch,npm,ISC,Elan Shanker (https://github.com/micromatch/anymatch)
aproba,npm,ISC,Rebecca Turner (https://github.com/iarna/aproba)
are-we-there-yet,npm,ISC,Rebecca Turner (https://github.com/iarna/are-we-there-yet)
arg,npm,MIT,Josh Junon (https://www.npmjs.com/package/arg)
argparse,npm,MIT,(https://www.npmjs.com/package/argparse)
array-buffer-byte-length,npm,MIT,Jordan Harband (https://github.com/inspect-js/array-buffer-byte-length#readme)
array-includes,npm,MIT,Jordan Harband (http://ljharb.codes)
array-union,npm,MIT,Sindre Sorhus (sindresorhus.com)
array.prototype.findlastindex,npm,MIT,Jordan Harband (https://github.com/es-shims/Array.prototype.findLastIndex#readme)
array.prototype.flat,npm,MIT,Jordan Harband (http://ljharb.codes)
array.prototype.flatmap,npm,MIT,Jordan Harband (http://ljharb.codes)
arraybuffer.prototype.slice,npm,MIT,Jordan Harband (https://github.com/es-shims/ArrayBuffer.prototype.slice#readme)
asn1,npm,MIT,Joyent (joyent.com)
assert-plus,npm,MIT,Mark Cavage (https://www.npmjs.com/package/assert-plus)
astral-regex,npm,MIT,Kevin Mårtensson (github.com/kevva)
async,npm,MIT,Caolan McMahon (https://caolan.github.io/async/)
async-retry,npm,MIT,(https://www.npmjs.com/package/async-retry)
asynckit,npm,MIT,Alex Indigo (https://github.com/alexindigo/asynckit#readme)
available-typed-arrays,npm,MIT,Jordan Harband (https://github.com/inspect-js/available-typed-arrays#readme)
aws-sign2,npm,Apache-2.0,Mikeal Rogers (http://www.futurealoof.com)
aws4,npm,MIT,Michael Hart (https://github.com/mhart)
babel-jest,virtual,MIT,(https://www.npmjs.com/package/babel-jest)
babel-plugin-istanbul,npm,BSD-3-Clause,Thai Pangsakulyanont @dtinth (https://github.com/istanbuljs/babel-plugin-istanbul#readme)
babel-plugin-jest-hoist,npm,MIT,(https://www.npmjs.com/package/babel-plugin-jest-hoist)
babel-plugin-polyfill-corejs2,virtual,MIT,(https://www.npmjs.com/package/babel-plugin-polyfill-corejs2)
babel-plugin-polyfill-corejs3,virtual,MIT,(https://www.npmjs.com/package/babel-plugin-polyfill-corejs3)
babel-plugin-polyfill-regenerator,virtual,MIT,(https://www.npmjs.com/package/babel-plugin-polyfill-regenerator)
babel-preset-current-node-syntax,virtual,MIT,Nicolò Ribaudo (https://github.com/nicolo-ribaudo)
babel-preset-jest,virtual,MIT,(https://www.npmjs.com/package/babel-preset-jest)
balanced-match,npm,MIT,Julian Gruber (https://github.com/juliangruber/balanced-match)
bcrypt-pbkdf,npm,BSD-3-Clause,(https://www.npmjs.com/package/bcrypt-pbkdf)
brace-expansion,npm,MIT,Julian Gruber (https://github.com/juliangruber/brace-expansion)
braces,npm,MIT,Jon Schlinkert (https://github.com/micromatch/braces)
browserslist,npm,MIT,Andrey Sitnik (https://www.npmjs.com/package/browserslist)
bs-logger,npm,MIT,Huafu Gandon (https://www.npmjs.com/package/bs-logger)
bser,npm,Apache-2.0,Wez Furlong (https://facebook.github.io/watchman/docs/bser.html)
buffer-from,npm,MIT,(https://www.npmjs.com/package/buffer-from)
call-bind,npm,MIT,Jordan Harband (https://github.com/ljharb/call-bind#readme)
callsites,npm,MIT,Sindre Sorhus (sindresorhus.com)
camelcase,npm,MIT,Sindre Sorhus (sindresorhus.com)
caniuse-lite,npm,CC-BY-4.0,Ben Briggs (http://beneb.info)
caseless,npm,Apache-2.0,Mikeal Rogers (https://www.npmjs.com/package/caseless)
chalk,npm,MIT,(https://www.npmjs.com/package/chalk)
char-regex,npm,MIT,Richie Bendall (https://www.npmjs.com/package/char-regex)
chownr,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
chrome-trace-event,npm,MIT,Trent Mick  Sam Saccone (https://www.npmjs.com/package/chrome-trace-event)
ci-info,npm,MIT,Thomas Watson Steen (https://github.com/watson/ci-info)
cjs-module-lexer,npm,MIT,Guy Bedford (https://github.com/nodejs/cjs-module-lexer#readme)
clean-stack,npm,MIT,Sindre Sorhus (sindresorhus.com)
cli-cursor,npm,MIT,Sindre Sorhus (sindresorhus.com)
cli-spinners,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
cli-truncate,npm,MIT,Sindre Sorhus (sindresorhus.com)
cli-width,npm,ISC,Ilya Radchenko (https://github.com/knownasilya/cli-width)
clipanion,virtual,MIT,(https://mael.dev/clipanion/)
cliui,npm,ISC,Ben Coe (https://www.npmjs.com/package/cliui)
clone,npm,MIT,Paul Vorbach (http://paul.vorba.ch/)
co,npm,MIT,(https://www.npmjs.com/package/co)
code-point-at,npm,MIT,Sindre Sorhus (sindresorhus.com)
collect-v8-coverage,npm,MIT,(https://www.npmjs.com/package/collect-v8-coverage)
color-convert,npm,MIT,Heather Arthur (https://www.npmjs.com/package/color-convert)
color-name,npm,MIT,DY (https://github.com/dfcreative/color-name)
combined-stream,npm,MIT,Felix Geisendörfer (https://github.com/felixge/node-combined-stream)
commander,npm,MIT,TJ Holowaychuk (https://www.npmjs.com/package/commander)
commondir,npm,MIT,James Halliday (http://substack.net)
compare-versions,npm,MIT,Ole Michelsen (https://github.com/omichelsen/compare-versions#readme)
concat-map,npm,MIT,James Halliday (http://substack.net)
console-control-strings,npm,ISC,Rebecca Turner (http://re-becca.org/)
convert-source-map,npm,MIT,Thorsten Lorenz (https://github.com/thlorenz/convert-source-map)
core-js-compat,npm,MIT,Denis Pushkarev (http://zloirock.ru)
core-util-is,npm,MIT,Isaac Z. Schlueter (http://blog.izs.me/)
cosmiconfig,npm,MIT,David Clark (https://github.com/davidtheclark/cosmiconfig#readme)
create-require,npm,MIT,(https://www.npmjs.com/package/create-require)
cross-spawn,npm,MIT,André Cruz (https://github.com/moxystudio/node-cross-spawn)
dashdash,npm,MIT,Trent Mick (http://trentm.com)
data-view-buffer,npm,MIT,Jordan Harband (https://github.com/ljharb/data-view-buffer#readme)
data-view-byte-length,npm,MIT,Jordan Harband (https://github.com/ljharb/data-view-byte-length#readme)
data-view-byte-offset,npm,MIT,Jordan Harband (https://github.com/ljharb/data-view-byte-offset#readme)
debug,virtual,MIT,Josh Junon (https://github.com/qix-)
dedent,virtual,MIT,Desmond Brand (https://github.com/dmnd/dedent)
deep-is,npm,MIT,Thorsten Lorenz (http://thlorenz.com)
deepmerge,npm,MIT,(https://github.com/TehShrike/deepmerge)
defaults,npm,MIT,Elijah Insua (https://www.npmjs.com/package/defaults)
define-data-property,npm,MIT,Jordan Harband (https://github.com/ljharb/define-data-property#readme)
define-properties,npm,MIT,Jordan Harband (https://www.npmjs.com/package/define-properties)
delayed-stream,npm,MIT,Felix Geisendörfer (https://github.com/felixge/node-delayed-stream)
delegates,npm,MIT,(https://www.npmjs.com/package/delegates)
detect-newline,npm,MIT,Sindre Sorhus (sindresorhus.com)
diff,npm,BSD-3-Clause,(https://www.npmjs.com/package/diff)
diff-sequences,npm,MIT,(https://www.npmjs.com/package/diff-sequences)
dir-glob,npm,MIT,Kevin Mårtensson (github.com/kevva)
doctrine,npm,Apache-2.0,(https://github.com/eslint/doctrine)
eastasianwidth,npm,MIT,Masaki Komagata (https://www.npmjs.com/package/eastasianwidth)
ecc-jsbn,npm,MIT,Jeremie Miller (https://github.com/quartzjer/ecc-jsbn)
ejs,npm,Apache-2.0,Matthew Eernisse (https://github.com/mde/ejs)
electron-to-chromium,npm,ISC,Kilian Valkhof (https://www.npmjs.com/package/electron-to-chromium)
elegant-spinner,npm,MIT,Sindre Sorhus (sindresorhus.com)
emittery,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
emoji-regex,npm,MIT,Mathias Bynens (https://mths.be/emoji-regex)
end-of-stream,npm,MIT,Mathias Buus (https://github.com/mafintosh/end-of-stream)
enhanced-resolve,npm,MIT,Tobias Koppers @sokra (http://github.com/webpack/enhanced-resolve)
enquirer,npm,MIT,Jon Schlinkert (https://github.com/enquirer/enquirer)
env-paths,npm,MIT,Sindre Sorhus (sindresorhus.com)
error-ex,npm,MIT,(https://www.npmjs.com/package/error-ex)
es-abstract,npm,MIT,Jordan Harband (http://ljharb.codes)
es-define-property,npm,MIT,Jordan Harband (https://github.com/ljharb/es-define-property#readme)
es-errors,npm,MIT,Jordan Harband (https://github.com/ljharb/es-errors#readme)
es-module-lexer,npm,MIT,Guy Bedford (https://github.com/guybedford/es-module-lexer#readme)
es-object-atoms,npm,MIT,Jordan Harband (https://github.com/ljharb/es-object-atoms#readme)
es-set-tostringtag,npm,MIT,Jordan Harband (https://github.com/es-shims/es-set-tostringtag#readme)
es-shim-unscopables,npm,MIT,Jordan Harband (https://github.com/ljharb/es-shim-unscopables#readme)
es-to-primitive,npm,MIT,Jordan Harband (https://www.npmjs.com/package/es-to-primitive)
esbuild,npm,MIT,(https://www.npmjs.com/package/esbuild)
escalade,npm,MIT,Luke Edwards (https://lukeed.com)
escape-string-regexp,npm,MIT,Sindre Sorhus (sindresorhus.com)
eslint,npm,MIT,Nicholas C. Zakas (https://eslint.org)
eslint-config-prettier,virtual,MIT,Simon Lydell (https://www.npmjs.com/package/eslint-config-prettier)
eslint-import-resolver-node,npm,MIT,Ben Mosher (https://github.com/import-js/eslint-plugin-import)
eslint-import-resolver-typescript,virtual,ISC,Alex Gorbatchev (https://www.npmjs.com/package/eslint-import-resolver-typescript)
eslint-module-utils,virtual,MIT,Ben Mosher (https://github.com/import-js/eslint-plugin-import#readme)
eslint-plugin-arca,npm,ISC,Maël Nison (https://www.npmjs.com/package/eslint-plugin-arca)
eslint-plugin-import,virtual,MIT,Ben Mosher (https://github.com/import-js/eslint-plugin-import)
eslint-plugin-jest,virtual,MIT,Jonathan Kim (https://github.com/jest-community/eslint-plugin-jest#readme)
eslint-plugin-prettier,virtual,MIT,Teddy Katz (https://github.com/prettier/eslint-plugin-prettier#readme)
eslint-scope,npm,BSD-2-Clause,(http://github.com/eslint/eslint-scope)
eslint-visitor-keys,npm,Apache-2.0,Toru Nagashima (https://github.com/eslint/eslint-visitor-keys#readme)
espree,npm,BSD-2-Clause,Nicholas C. Zakas (https://github.com/eslint/espree)
esprima,npm,BSD-2-Clause,Ariya Hidayat (http://esprima.org)
esquery,npm,BSD-3-Clause,Joel Feenstra (https://github.com/estools/esquery/)
esrecurse,npm,BSD-2-Clause,(https://github.com/estools/esrecurse)
estraverse,npm,BSD-2-Clause,(https://github.com/estools/estraverse)
estree-walker,npm,MIT,Rich Harris (https://www.npmjs.com/package/estree-walker)
esutils,npm,BSD-2-Clause,(https://github.com/estools/esutils)
eventemitter3,npm,MIT,Arnout Kazemier (https://www.npmjs.com/package/eventemitter3)
events,npm,MIT,Irakli Gozalishvili (http://jeditoolkit.com)
execa,npm,MIT,Sindre Sorhus (sindresorhus.com)
exit-x,npm,MIT,Grunt Development Team (https://github.com/gruntjs/node-exit-x)
expect,npm,MIT,(https://www.npmjs.com/package/expect)
extend,npm,MIT,Stefan Thomas (http://www.justmoon.net)
extsprintf,npm,MIT,(https://www.npmjs.com/package/extsprintf)
faker,npm,MIT,(https://www.npmjs.com/package/faker)
fast-deep-equal,npm,MIT,Evgeny Poberezkin (https://github.com/epoberezkin/fast-deep-equal#readme)
fast-diff,npm,Apache-2.0,Jason Chen (https://www.npmjs.com/package/fast-diff)
fast-glob,npm,MIT,Denis Malinochkin (https://mrmlnc.com)
fast-json-stable-stringify,npm,MIT,James Halliday (https://github.com/epoberezkin/fast-json-stable-stringify)
fast-levenshtein,npm,MIT,Ramesh Nair (http://www.hiddentao.com/)
fast-uri,npm,BSD-3-Clause,Vincent Le Goff (https://github.com/fastify/fast-uri)
fastq,npm,ISC,Matteo Collina (https://github.com/mcollina/fastq#readme)
fb-watchman,npm,Apache-2.0,Wez Furlong (https://facebook.github.io/watchman/)
fdir,virtual,MIT,thecodrr (https://github.com/thecodrr/fdir#readme)
figures,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
file-entry-cache,npm,MIT,Roy Riojas (http://royriojas.com)
filelist,npm,Apache-2.0,Matthew Eernisse (https://github.com/mde/filelist)
fill-range,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert/fill-range)
find-up,npm,MIT,Sindre Sorhus (sindresorhus.com)
find-versions,npm,MIT,Sindre Sorhus (sindresorhus.com)
flat-cache,npm,MIT,Jared Wray (https://jaredwray.com)
flatted,npm,ISC,Andrea Giammarchi (https://github.com/WebReflection/flatted#readme)
for-each,npm,MIT,Raynos (https://github.com/Raynos/for-each)
foreground-child,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
forever-agent,npm,Apache-2.0,Mikeal Rogers (http://www.futurealoof.com)
form-data,npm,MIT,Felix Geisendörfer (http://debuggable.com/)
fs-minipass,npm,ISC,Isaac Z. Schlueter (https://github.com/npm/fs-minipass#readme)
fs.realpath,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
function-bind,npm,MIT,Raynos (https://github.com/Raynos/function-bind)
function.prototype.name,npm,MIT,Jordan Harband (https://www.npmjs.com/package/function.prototype.name)
functions-have-names,npm,MIT,Jordan Harband (https://github.com/inspect-js/functions-have-names#readme)
gauge,npm,ISC,Rebecca Turner (https://github.com/iarna/gauge)
gensync,npm,MIT,Logan Smyth (https://github.com/loganfsmyth/gensync)
get-caller-file,npm,ISC,Stefan Penner (https://github.com/stefanpenner/get-caller-file#readme)
get-intrinsic,npm,MIT,Jordan Harband (https://github.com/ljharb/get-intrinsic#readme)
get-own-enumerable-property-symbols,npm,ISC,Shahar Or (https://github.com/mightyiam/get-own-enumerable-property-symbols#readme)
get-package-type,npm,MIT,Corey Farrell (https://github.com/cfware/get-package-type#readme)
get-stream,npm,MIT,Sindre Sorhus (sindresorhus.com)
get-symbol-description,npm,MIT,Jordan Harband (https://github.com/inspect-js/get-symbol-description#readme)
get-tsconfig,npm,MIT,Hiroki Osame (https://www.npmjs.com/package/get-tsconfig)
getpass,npm,MIT,Alex Wilson (https://www.npmjs.com/package/getpass)
glob,npm,ISC,Isaac Z. Schlueter (https://blog.izs.me/)
glob-parent,npm,ISC,Gulp Team (https://gulpjs.com/)
glob-to-regexp,npm,BSD-2-Clause,Nick Fitzgerald (https://www.npmjs.com/package/glob-to-regexp)
globals,npm,MIT,Sindre Sorhus (sindresorhus.com)
globalthis,npm,MIT,Jordan Harband (https://www.npmjs.com/package/globalthis)
globby,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
gopd,npm,MIT,Jordan Harband (https://github.com/ljharb/gopd#readme)
graceful-fs,npm,ISC,(https://www.npmjs.com/package/graceful-fs)
graphemer,npm,MIT,Matt Davies (https://github.com/flmnt/graphemer)
har-schema,npm,ISC,Ahmad Nassri (https://github.com/ahmadnassri/har-schema)
har-validator,npm,MIT,Ahmad Nassri (https://github.com/ahmadnassri/node-har-validator)
has-bigints,npm,MIT,Jordan Harband (https://github.com/ljharb/has-bigints#readme)
has-flag,npm,MIT,Sindre Sorhus (sindresorhus.com)
has-property-descriptors,npm,MIT,Jordan Harband (https://github.com/inspect-js/has-property-descriptors#readme)
has-proto,npm,MIT,Jordan Harband (https://github.com/inspect-js/has-proto#readme)
has-symbols,npm,MIT,Jordan Harband (https://github.com/ljharb/has-symbols#readme)
has-tostringtag,npm,MIT,Jordan Harband (https://github.com/inspect-js/has-tostringtag#readme)
has-unicode,npm,ISC,Rebecca Turner (https://github.com/iarna/has-unicode)
hasown,npm,MIT,Jordan Harband (https://github.com/inspect-js/hasOwn#readme)
html-escaper,npm,MIT,Andrea Giammarchi (https://github.com/WebReflection/html-escaper)
http-signature,npm,MIT,Joyent  Inc (https://github.com/joyent/node-http-signature/)
human-signals,npm,Apache-2.0,ehmicky (https://git.io/JeluP)
husky,npm,MIT,Typicode (https://github.com/typicode/husky#readme)
ignore,npm,MIT,kael (https://www.npmjs.com/package/ignore)
import-fresh,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
import-local,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
imurmurhash,npm,MIT,Jens Taylor (https://github.com/jensyt/imurmurhash-js)
indent-string,npm,MIT,Sindre Sorhus (sindresorhus.com)
inflight,npm,ISC,Isaac Z. Schlueter (https://github.com/isaacs/inflight)
inherits,npm,ISC,(https://www.npmjs.com/package/inherits)
internal-slot,npm,MIT,Jordan Harband (https://github.com/ljharb/internal-slot#readme)
is-array-buffer,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-array-buffer#readme)
is-arrayish,npm,MIT,Qix (http://github.com/qix-)
is-bigint,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-bigint#readme)
is-boolean-object,npm,MIT,Jordan Harband (https://www.npmjs.com/package/is-boolean-object)
is-callable,npm,MIT,Jordan Harband (http://ljharb.codes)
is-core-module,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-core-module)
is-data-view,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-data-view#readme)
is-date-object,npm,MIT,Jordan Harband (https://www.npmjs.com/package/is-date-object)
is-extglob,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert/is-extglob)
is-fullwidth-code-point,npm,MIT,Sindre Sorhus (sindresorhus.com)
is-generator-fn,npm,MIT,Sindre Sorhus (sindresorhus.com)
is-glob,npm,MIT,Jon Schlinkert (https://github.com/micromatch/is-glob)
is-module,npm,MIT,Jonathan Ong (http://jongleberry.com)
is-negative-zero,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-negative-zero)
is-node-process,npm,MIT,(https://www.npmjs.com/package/is-node-process)
is-number,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert/is-number)
is-number-object,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-number-object#readme)
is-obj,npm,MIT,Sindre Sorhus (sindresorhus.com)
is-path-inside,npm,MIT,Sindre Sorhus (sindresorhus.com)
is-reference,npm,MIT,Rich Harris (https://github.com/Rich-Harris/is-reference#readme)
is-regex,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-regex)
is-regexp,npm,MIT,Sindre Sorhus (http://sindresorhus.com)
is-shared-array-buffer,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-shared-array-buffer#readme)
is-stream,npm,MIT,Sindre Sorhus (sindresorhus.com)
is-string,npm,MIT,Jordan Harband (https://www.npmjs.com/package/is-string)
is-symbol,npm,MIT,Jordan Harband (https://www.npmjs.com/package/is-symbol)
is-typed-array,npm,MIT,Jordan Harband (http://ljharb.codes)
is-typedarray,npm,MIT,Hugh Kennedy (https://github.com/hughsk/is-typedarray)
is-weakref,npm,MIT,Jordan Harband (https://github.com/inspect-js/is-weakref#readme)
isarray,npm,MIT,Julian Gruber (https://github.com/juliangruber/isarray)
isexe,npm,ISC,Isaac Z. Schlueter (https://github.com/isaacs/isexe#readme)
isstream,npm,MIT,Rod Vagg (https://github.com/rvagg/isstream)
istanbul-lib-coverage,npm,BSD-3-Clause,Krishnan Anantheswaran (https://istanbul.js.org/)
istanbul-lib-instrument,npm,BSD-3-Clause,Krishnan Anantheswaran (https://istanbul.js.org/)
istanbul-lib-report,npm,BSD-3-Clause,Krishnan Anantheswaran (https://istanbul.js.org/)
istanbul-lib-source-maps,npm,BSD-3-Clause,Krishnan Anantheswaran (https://istanbul.js.org/)
istanbul-reports,npm,BSD-3-Clause,Krishnan Anantheswaran (https://istanbul.js.org/)
jackspeak,npm,BlueOak-1.0.0,Isaac Z. Schlueter (https://www.npmjs.com/package/jackspeak)
jake,npm,Apache-2.0,Matthew Eernisse (http://fleegix.org)
jest,virtual,MIT,(https://jestjs.io/)
jest-changed-files,npm,MIT,(https://www.npmjs.com/package/jest-changed-files)
jest-circus,npm,MIT,(https://www.npmjs.com/package/jest-circus)
jest-cli,virtual,MIT,(https://jestjs.io/)
jest-config,virtual,MIT,(https://www.npmjs.com/package/jest-config)
jest-diff,npm,MIT,(https://www.npmjs.com/package/jest-diff)
jest-docblock,npm,MIT,(https://www.npmjs.com/package/jest-docblock)
jest-each,npm,MIT,Matt Phillips (mattphillips)
jest-environment-node,npm,MIT,(https://www.npmjs.com/package/jest-environment-node)
jest-get-type,npm,MIT,(https://www.npmjs.com/package/jest-get-type)
jest-haste-map,npm,MIT,(https://www.npmjs.com/package/jest-haste-map)
jest-leak-detector,npm,MIT,(https://www.npmjs.com/package/jest-leak-detector)
jest-matcher-utils,npm,MIT,(https://www.npmjs.com/package/jest-matcher-utils)
jest-message-util,npm,MIT,(https://www.npmjs.com/package/jest-message-util)
jest-mock,npm,MIT,(https://www.npmjs.com/package/jest-mock)
jest-pnp-resolver,virtual,MIT,(https://github.com/arcanis/jest-pnp-resolver)
jest-regex-util,npm,MIT,(https://www.npmjs.com/package/jest-regex-util)
jest-resolve,npm,MIT,(https://www.npmjs.com/package/jest-resolve)
jest-resolve-dependencies,npm,MIT,(https://www.npmjs.com/package/jest-resolve-dependencies)
jest-runner,npm,MIT,(https://www.npmjs.com/package/jest-runner)
jest-runtime,npm,MIT,(https://www.npmjs.com/package/jest-runtime)
jest-snapshot,npm,MIT,(https://www.npmjs.com/package/jest-snapshot)
jest-util,npm,MIT,(https://www.npmjs.com/package/jest-util)
jest-validate,npm,MIT,(https://www.npmjs.com/package/jest-validate)
jest-watcher,npm,MIT,(https://jestjs.io/)
jest-worker,npm,MIT,(https://www.npmjs.com/package/jest-worker)
js-tokens,npm,MIT,Simon Lydell (https://www.npmjs.com/package/js-tokens)
js-yaml,npm,MIT,Vladimir Zapparov (https://github.com/nodeca/js-yaml)
jsbn,npm,MIT,Tom Wu (https://www.npmjs.com/package/jsbn)
jsesc,npm,MIT,Mathias Bynens (https://mths.be/jsesc)
json-buffer,npm,MIT,Dominic Tarr (https://github.com/dominictarr/json-buffer)
json-parse-even-better-errors,npm,MIT,Kat Marchán (https://www.npmjs.com/package/json-parse-even-better-errors)
json-schema,npm,(AFLv2.1 OR BSD),Kris Zyp (https://www.npmjs.com/package/json-schema)
json-schema-traverse,npm,MIT,Evgeny Poberezkin (https://github.com/epoberezkin/json-schema-traverse#readme)
json-stable-stringify-without-jsonify,npm,MIT,James Halliday (https://github.com/samn/json-stable-stringify)
json-stream-stringify,npm,MIT,Faleij (https://github.com/faleij)
json-stringify-safe,npm,ISC,Isaac Z. Schlueter (https://github.com/isaacs/json-stringify-safe)
json5,npm,MIT,Aseem Kishore (http://json5.org/)
jsprim,npm,MIT,(https://www.npmjs.com/package/jsprim)
keyv,npm,MIT,Jared Wray (https://github.com/jaredwray/keyv)
leven,npm,MIT,Sindre Sorhus (sindresorhus.com)
levn,npm,MIT,George Zahariev (https://github.com/gkz/levn)
lines-and-columns,npm,MIT,Brian Donovan (https://github.com/eventualbuddha/lines-and-columns#readme)
lint-staged,npm,MIT,Andrey Okonetchnikov (https://www.npmjs.com/package/lint-staged)
listr2,npm,MIT,Cenk Kilic (https://srcs.kilic.dev)
loader-runner,npm,MIT,Tobias Koppers @sokra (https://github.com/webpack/loader-runner#readme)
locate-path,npm,MIT,Sindre Sorhus (sindresorhus.com)
lodash._reinterpolate,npm,MIT,John-David Dalton (https://lodash.com/)
lodash.debounce,npm,MIT,John-David Dalton (https://lodash.com/)
lodash.memoize,npm,MIT,John-David Dalton (https://lodash.com/)
lodash.merge,npm,MIT,John-David Dalton (https://lodash.com/)
lodash.template,npm,MIT,John-David Dalton (https://lodash.com/)
lodash.templatesettings,npm,MIT,John-David Dalton (https://lodash.com/)
log-symbols,npm,MIT,Sindre Sorhus (sindresorhus.com)
log-update,npm,MIT,Sindre Sorhus (sindresorhus.com)
lru-cache,npm,ISC,Isaac Z. Schlueter (https://www.npmjs.com/package/lru-cache)
magic-string,npm,MIT,Rich Harris (https://www.npmjs.com/package/magic-string)
make-dir,npm,MIT,Sindre Sorhus (sindresorhus.com)
make-error,npm,ISC,Julien Fontanet (https://github.com/JsCommunity/make-error)
makeerror,npm,BSD-3-Clause,Naitik Shah (https://www.npmjs.com/package/makeerror)
merge-stream,npm,MIT,Stephen Sugden (https://www.npmjs.com/package/merge-stream)
merge2,npm,MIT,(https://github.com/teambition/merge2)
micromatch,npm,MIT,Jon Schlinkert (https://github.com/micromatch/micromatch)
mime-db,npm,MIT,(https://www.npmjs.com/package/mime-db)
mime-types,npm,MIT,(https://www.npmjs.com/package/mime-types)
mimic-fn,npm,MIT,Sindre Sorhus (sindresorhus.com)
minimatch,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me)
minimist,npm,MIT,James Halliday (https://github.com/minimistjs/minimist)
minipass,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
minizlib,npm,MIT,Isaac Z. Schlueter (http://blog.izs.me/)
mkdirp,npm,MIT,(https://www.npmjs.com/package/mkdirp)
ms,npm,MIT,(https://www.npmjs.com/package/ms)
mute-stream,npm,ISC,GitHub Inc. (https://www.npmjs.com/package/mute-stream)
nanoid,npm,MIT,Andrey Sitnik (https://www.npmjs.com/package/nanoid)
napi-postinstall,npm,MIT,JounQin (https://www.1stG.me)
natural-compare,npm,MIT,Lauri Rooden (https://github.com/litejs/natural-compare-lite)
neo-async,npm,MIT,(https://github.com/suguru03/neo-async)
nock,npm,MIT,Pedro Teixeira (https://www.npmjs.com/package/nock)
node-gyp,npm,MIT,Nathan Rajlich (http://tootallnate.net)
node-int64,npm,MIT,Robert Kieffer (https://www.npmjs.com/package/node-int64)
node-releases,npm,MIT,Sergey Rubanov (https://www.npmjs.com/package/node-releases)
nopt,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
normalize-path,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert/normalize-path)
npm-run-path,npm,MIT,Sindre Sorhus (sindresorhus.com)
npmlog,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
number-is-nan,npm,MIT,Sindre Sorhus (sindresorhus.com)
oauth-sign,npm,Apache-2.0,Mikeal Rogers (http://www.futurealoof.com)
object-assign,npm,MIT,Sindre Sorhus (sindresorhus.com)
object-inspect,npm,MIT,James Halliday (https://github.com/inspect-js/object-inspect)
object-keys,npm,MIT,Jordan Harband (http://ljharb.codes)
